,row.labels,reef.key,reef.name,reef.name.old,gbrmpa.id,gbrmpa.sub.id,lat,long,acr,alng,abundance,richness,shelf.position,site.key,old.site,date,observer,time,depth,max.depth,min.depth,slope,hard.substrate,hard.coral,soft.coral,sponge,algal.assemblage,sargassum,macro.algae,continuous.platform,large.block,small.block,rubble,sand,silt,dead.standing.coral,major.disturbance..time.,habitat,reef.development,visibility,porites.massive,pocillo.damicorn,styloph.pistilla,galaxea.fascicul,acropor.hyacinth,platygy.daedalea,acropor.millepor,favites.abdita,acropor.tenuis,seriato.hystrix,favia.favus,acropor.valida,acropor.nobilis,acropor.formosa,favia.pallida,lobophy.hemprich,goniast.pectinat,acropor.aculeus,acropor.humilis,fungia.fungites,goniast.retiform,acropor.cerealis,acropor.divarica,acropor.nasuta,hydnoph.exesa,acropor.elseyi,leptori.phrygia,echinop.lamellos,acropor.palifera,merulin.ampliata,montipo.aequitub,favites.flexuosa,acropor.secale,pachyse.speciosa,astreop.myriopht,platygy.lamellin,goniast.australe,diploas.heliopor,symphyl.recta,acropor.micropht,acropor.digitife,cyphast.serailia,acropor.loripes,platygy.sinensis,acropor.florida,turbina.reniform,acropor.sarmento,favites.halicora,montipo.informis,porites.cylindri,montipo.tubercul,acropor.cytherea,pectini.lactuca,favia.lizarden,mycediu.elephant,leptast.pruinosa,lobophy.corymbos,oxypora.lacera,goniast.aspera,favia.maritima,favia.matthaii,favites.pentagon,favites.complana,symphyl.radians,galaxea.astreata,acropor.longicya,turbina.mesenter,oulophy.crispa,platygy.pini,porites.annae,montast.curta,goniopo.minor,echinop.aspera,pocillo.verrucos,acropor.gemmifer,coscina.columna,montipo.danae,herpoli.limax,montast.magniste,acropor.yongei,pachyse.rugosa,echinop.horrida,montipo.hoffmeis,turbina.peltata,fungia.concinna,montipo.stellata,porites.lichen,favites.russelli,hydnoph.rigida,acropor.selago,ctenact.echinata,acropor.austera,podabac.crustace,pavona.cactus,porites.rus,lobophy.pachysep,echinop.gemmacea,montipo.hispida,acropor.grandis,pavona.decussat,acantha.echinata,psammoc.contigua,hydnoph.microcon,leptast.transver,goniast.palauens,favia.stellige,montipo.undata,psammoc.digitata,pocillo.eydouxi,porites.nigresce,turbina.frondens,favia.speciosa,heliofu.actinifo,goniopo.tenuiden,acropor.robusta,acropor.brueggem,turbina.stellula,symphyl.agaricia,ctenact.crassa,physogy.lichtens,montipo.foliosa,goniast.edwardsi,pavona.varians,acropor.aspera,montipo.spumosa,coelose.mayeri,leptast.purpurea,goniast.favulus,favia.rotundat,acropor.latistel,cyphast.chalcidi,acropor.samoensi,sandalo.robusta,montipo.grisea,barabat.amicorum,astreop.gracilis,acropor.vaughani,goniopo.djibouti,favia.rotumana,acropor.valencie,caulast.furcata,plesias.versipor,oulophy.bennetta,montipo.monaster,favites.chinensi,goniopo.columna,acropor.abrotano,montipo.crassitu,moseley.latistel,montipo.foveolat,pectini.paeonia,polyphy.talpina,acropor.microcla,montipo.digitata,merulin.scabricu,montipo.efflores,goniopo.pandorae,goniopo.pendulus,acropor.willisae,porites.vaughani,pavona.venosa,cyphast.decadia,acropor.anthocer,acropor.pulchra,seriato.caliendr,acropor.clathrat,turbina.patula,plerogy.sinuosa,montast.valencie,goniopo.lobata,acantha.hillae,acropor.carduus,echinop.mammifor,echinop.orpheens,scolymi.vitiensi,pectini.alcicorn,fungia.paumoten,turbina.bifrons,euphyll.divisa,cyphast.micropht,montipo.incrassa,acropor.horrida,palauas.ramosa,favia.laxa,cynarin.lacrymal,acropor.panicula,pavona.explanul,euphyll.glabresc,acropor.subulata,acropor.monticul,porites.evermann,montipo.verrucos,halomit.pileus,montipo.venosa,fungia.danai,goniopo.stutchbu,coscina.exesa,fungia.horrida,herpoli.weberi,montipo.turgesce,astreop.listeri,euphyll.cristata,favia.maxima,goniopo.fruticos,echinop.pacificu,leptose.yabei,acropor.verweyi,acropor.carolini,tubastr.micranth,psammoc.profunda,montipo.floweri,gardine.planulat,euphyll.ancora,acropor.kirstyae,fungia.granulos,scapoph.cylindri,pseudos.tayami,montipo.turtlens,leptose.mycetose,montipo.nodosa,montipo.millepor,leptose.scabra,fungia.repanda,goniopo.eclipsen,pavona.duerdeni,leptose.explanat,hydnoph.pilosa,acropor.listeri,acropor.dendrum,acropor.glauca,astreop.cucullat,pavona.clavus,lobophy.hataii,acropor.cuneata,montipo.spongode,oxypora.glabra,mycediu.mancaoi,acropor.spathula,caulast.curvata,alveopo.allingi,acropor.granulos,psammoc.superfic,leptose.hawaiien,acropor.solitary,acropor.spicifer,pocillo.meandrin,echinop.echinopo,platygy.ryukyuen,platygy.verweyi,fungia.moluccen,psammoc.haimeana,montast.annulige,fungia.scutaria,acropor.lutkeni,acropor.donei,acropor.acuminat,porites.murrayen,porites.stephens,fungia.klunzing,anacrop.forbesi,acantha.bowerban,echinop.echinata,galaxea.horresce,acropor.palmerae,acropor.nana,styloco.guenther,austral.zelli,acropor.subglabr,lobophy.robusta,goniopo.somalien,tubastr.coccinae,acropor.prostrat,paracla.triangul,montipo.mollis,fungia.valida,acropor.chesterf,favia.danae,anacrop.puertoga,montipo.calicula,porites.solida,goniopo.palmensi,astreop.moretone,echinop.hirsutis,acantha.lordhowe,pocillo.woodjone,turbina.heronens,goniopo.stokesi,platygy.contorta,favia.rosaria,pavona.maldiven,acropor.polystom,turbina.radicali,fungia.scruposa,favia.truncatu,montipo.confusa,astreop.ocellata,favia.veroni,leptast.inaequal,madraci.kirbyi,alveopo.catalai,leptose.gardiner,lithoph.undulatu,porites.deformis,lobophy.dentatus,hydnoph.grandis,fungia.corona,turbina.conspicu,leptose.foliosa,montipo.corbette,alveopo.fenestra,duncano.axifuga,scolymi.australi,porites.myrmidon,lobophy.diminuta,styloco.armata,blastom.wellsi,psammoc.obtusang,psammoc.nierstra,alveopo.spongios,galaxea.acrhelia,podabac.motupore,canthar.noumeae.,favia.helianth,turbina.irregula,leptose.solida,astreop.incrusta,leptast.bewicken,montipo.angulata,clavari.triangul,acropor.echinata,montipo.capricor,alveopo.marionen,heterop.cochlea,alveopo.gigas,symphyl.valencie,cyclose.costulat,blastom.merleti,acropor.lovelli,porites.monticul,pocillo.kelleher,pocillo.danae,pectini.maxima,oxypora.crassisp,mycediu.robakaki,echinom.nishihir,acantha.regulari,acantha.hemprich,diaseri.fragilis,cyclose.vaughani,cyclose.patellif,ctenact.albitent,canthar.jebbi,oulophy.levis,barabat.laddi,astreop.randalli,anacrop.reticula,tubastr.faulkner,sideras.savignya,porites.mayeri,alveopo.verrilli,trachyp.geoffroy,catalap.jardinei,acropor.multiacu,grp7
1,1,1,Pethebridge,Pethebridge,14122,a,14.73183333,145.103,0.1725,0.7461,28,23,Inner,71,50.1,02/08/1995 00:00,ld,1530,5.5,9,2,20,90,20,10,1,10,50,10,40,20,20,10,10,NA,NA,NA,,NA,NA,2,2,1,0,2,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2,2,3,Turtle,Turtle Reef,14119,a,14.71283333,145.191,0.2326,0.7452,31,28,Inner,63,42.1,02/07/1995 00:00,ld,1630,5,8,2,10,90,40,20,1,10,NA,5,40,30,10,10,5,5,1,20,,NA,NA,3,1,1,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3,3,3,Turtle,Turtle Reef,14119,a,14.7155,145.1858333,0.2294,0.7452,24,20,Inner,64,43.1,02/07/1995 00:00,ld,1700,6,10,2,40,100,30,10,1,10,NA,10,50,20,10,10,5,5,1,10,,NA,NA,2,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
4,4,3,Turtle,Turtle Reef,14119,a,14.7205,145.2033333,0.2168,0.7445,13,10,Inner,65,44.1,02/07/1995 00:00,ld,1730,6,10,2,20,80,5,5,1,20,40,10,20,20,10,30,15,5,1,5,,NA,NA,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5,5,3,Turtle,Turtle Reef,14119,a,14.73533333,145.1915,0.194,0.744,14,11,Inner,66,45.1,02/08/1995 00:00,ld,930,5.5,9,2,15,70,5,5,1,20,40,20,50,10,10,15,10,5,1,5,,NA,NA,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
6,6,3,Turtle,Turtle Reef,14119,a,14.73683333,145.1873333,0.192,0.744,20,14,Inner,67,46.1,02/08/1995 00:00,ld,1000,6,10,2,10,80,20,5,1,5,50,10,30,20,10,20,15,5,NA,5,,NA,NA,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
7,7,3,Turtle,Turtle Reef,14119,a,14.73433333,145.1825,0.1969,0.7442,17,11,Inner,68,47.1,02/08/1995 00:00,ld,1030,4.5,7,2,20,90,20,5,1,5,5,5,40,30,10,10,5,5,NA,20,,NA,NA,3,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
8,8,3,Turtle,Turtle Reef,14119,a,14.73133333,145.1848333,0.2019,0.7444,20,17,Inner,69,48.1,02/08/1995 00:00,ld,1100,6,10,2,30,90,40,30,1,5,1,4,40,30,10,10,5,5,NA,20,,NA,NA,3,2,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
9,9,3,Turtle,Turtle Reef,14119,a,14.731,145.1973333,0.1995,0.7441,18,14,Inner,70,49.1,02/08/1995 00:00,ld,1140,6,10,2,20,80,30,10,1,5,1,4,30,30,10,10,15,5,1,20,,NA,NA,2,1,1,0,2,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
10,10,5,Nymph Is,Nymph Island,14115,s,14.65133333,145.2478333,0.3518,0.7474,45,37,Inner-Mid,59,51.1,02/09/1995 00:00,ld,830,4,6,2,15,70,15,30,NA,20,NA,5,30,20,10,10,30,NA,1,10,,NA,NA,2,1,0,1,2,0,1,1,2,0,1,0,2,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
